Name of metropolitan thana and GO code	Area (sq km)	Ward and Union	Mahalla and Mouza	Population	Density (per sq km)	Literacy rate (%)
Adabor	2.07	2	8	86540	41806	62.24
Uttar Khan	20.09	1	14	52014	2590	64.58
Uttara	36.91	1	13	66636	11295	65.67
Kadamtali	10.16	4+2 (Part)	15	330565	32536	63.87
Kalabagan	1.26	1+1 (Part)	10	106671	84660	76.88
Kafrul	7.89	1+3 (Part)	18	272939	34593	69.87
Kamrangirchar	3.63	1	12	143208	39452	42.84
Cantonment	14.47	1+1 (Part)	8	117464	11393	70.30
Kotwali	0.67	2+2 (Part)	44	82488	123117	77.78
Khilkhet	15.88	1	11	39227	2470	58.32
Khilgaon	14.83	4+1 (Part)	12	230902	15560	56.92
Gulshan	8.85	2+1 (Part)	25	145969	16494	68.12
Gendaria	1.83	4	25	160541	87728	69.97
Chawkbazar Model	2.07	3+3 (Part)	62	160112	77349	75.49
Demra	19.9	3	19	125312	6473	58.58
Turag	12.17	1 (Part)	12	53558	4401	60.54
Tejgaon	2.74	1+2 (Part)	7	118540	41073	76.51
Tejgaon I/A	4.38	3	11	64129	14641	69.56
Dakshinkhan	11.08	1 (Part)	6	177760	15412	68.87
Darus Salam	4.98	2+2 (Part)	20	198723	39904	67.58
Dhanmondi	4.34	1+2 (Part)	17	128942	22798	70.90
New Market	1.67	1	8	66439	37173	82.32
Paltan	1.42	1+1 (Part)	13	64492	34854	81.74
Pallabi	25.28	2+4 (Part)	38	412217	16306	64.10
Bangshal	1.2	3+2 (Part)	61	178241	148535	69.35
Badda	36.84	1+5 (Part)	22	320025	8689	58.36
Bimanbandar	8.02	2	5	5079	634	79.13
Motijheel	3.69	5+1 (Part)	23	225999	61246	76.22
Mirpur Model	4.71	1+5 (Part)	17	274530	58287	73.73
Mohammadpur	7.44	3+2 (Part)	32	241343	32439	74.70
Jatrabari	13.19	4	17	260772	19770	63.04
Ramna	3.84	2+3 (Part)	16	176437	46068	75.11
Rampura	2.80	2	17	138923	49615	74.45
Lalbagh	2.04	4	46	188794	92547	71.45
Shah Ali	5.15	1+2 (Part)	24	102855	19972	73.02
Shahbagh	3.49	3 (Part)	13	74113	21236	79.39
Sher-e-Bangla Nagar	5.25	1+3 (Part)	16	248871	47404	71.67
Shyampur	1.66	1+2 (Part)	14109333	65864	65.36
Sabujbagh	6.62	4+2 (Part)	19	236813	35773	62.38
Sutrapur	2.08	5	47	191879	92250	76.17
Hazaribagh	3.94	1+2 (Part)	24	103482	26265	64.40